WKT,id,name,alt_name,latitude,longitude
"POINT (123.9583139 0.6116297)",71.0,SULAWESI UTARA,SULAWESI UTARA,0.6116297,123.9583139
"POINT (121.4021296 -1.3752773)",72.0,SULAWESI TENGAH,SULAWESI TENGAH,-1.3752773,121.4021296
"POINT (119.94719 -3.64467)",73.0,SULAWESI SELATAN,SULAWESI SELATAN,-3.64467,119.94719
"POINT (122.1454217 -4.0972944)",74.0,SULAWESI TENGGARA,SULAWESI TENGGARA,-4.0972944,122.1454217
"POINT (122.45559 0.71862)",75.0,GORONTALO,GORONTALO,0.71862,122.45559
"POINT (119.2820373 -2.8816203)",76.0,SULAWESI BARAT,SULAWESI BARAT,-2.8816203,119.2820373
