WKT,id,name,alt_name,latitude,longitude
"POINT (117.3293606 -8.7091863)",52.0,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,-8.7091863,117.3293606
"POINT (120.9835232 -8.7396626)",53.0,NUSA TENGGARA TIMUR,NUSA TENGGARA TIMUR,-8.7396626,120.9835232
"POINT (130.1019389 -3.2285559)",81.0,MALUKU,MALUKU,-3.2285559,130.1019389
"POINT (127.8182411 1.4867846)",82.0,MALUKU UTARA,MALUKU UTARA,1.4867846,127.8182411
"POINT (132.90253 -1.38424)",91.0,PAPUA BARAT,PAPUA BARAT,-1.38424,132.90253
"POINT (138.0409469 -4.2955542)",94.0,PAPUA,PAPUA,-4.2955542,138.0409469
