WKT,id,name,alt_name,latitude,longitude
"POINT (111.4374662 -0.198158)",61.0,KALIMANTAN BARAT,KALIMANTAN BARAT,-0.198158,111.4374662
"POINT (113.3452621 -1.5435139)",62.0,KALIMANTAN TENGAH,KALIMANTAN TENGAH,-1.5435139,113.3452621
"POINT (115.2438136 -2.9654258)",63.0,KALIMANTAN SELATAN,KALIMANTAN SELATAN,-2.9654258,115.2438136
"POINT (116.3958099 0.6236657)",64.0,KALIMANTAN TIMUR,KALIMANTAN TIMUR,0.6236657,116.3958099
"POINT (115.9991183 3.1098883)",65.0,KALIMANTAN UTARA,KALIMANTAN UTARA,3.1098883,115.9991183
