WKT,id,name,alt_name,latitude,longitude
"POINT (106.8170309 -6.2060792)",31.0,DKI JAKARTA,DKI JAKARTA,-6.2060792,106.8170309
"POINT (107.6404576 -7.0745971)",32.0,JAWA BARAT,JAWA BARAT,-7.0745971,107.6404576
"POINT (110.1499878 -7.191494)",33.0,JAWA TENGAH,JAWA TENGAH,-7.191494,110.1499878
"POINT (110.4246457 -7.881785)",34.0,DI YOGYAKARTA,DI YOGYAKARTA,-7.881785,110.4246457
"POINT (112.2442181 -7.5899872)",35.0,JAWA TIMUR,JAWA TIMUR,-7.5899872,112.2442181
"POINT (106.0634022 -6.3880597)",36.0,BANTEN,BANTEN,-6.3880597,106.0634022
"POINT (115.1773209 -8.4068924)",51.0,BALI,BALI,-8.4068924,115.1773209
